id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,referee,stadium,capacity,public,date,time,country,round,penaltis
IgApgXOO,Racing Club (Arg),https://static.flashscore.com/res/image/data/6T5YTkZA-OCiVKiPK.png,Cruzeiro (Bra),https://static.flashscore.com/res/image/data/lCWrxmg5-SjJmyx86.png,3,1,,,45000.0,43828.0,23/11/2024,17:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - FINAL,
nkz7D7m4,Racing Club (Arg),https://static.flashscore.com/res/image/data/6T5YTkZA-OCiVKiPK.png,Corinthians (Bra),https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,2,1,,,,,31/10/2024,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - SEMIFINAIS,
bTgCiQQp,Lanús (Arg),https://static.flashscore.com/res/image/data/h4Xuyuf5-xQnxBzcF.png,Cruzeiro (Bra),https://static.flashscore.com/res/image/data/lCWrxmg5-SjJmyx86.png,0,1,,,,,30/10/2024,19:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - SEMIFINAIS,
vPWbFTIi,Corinthians (Bra),https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,Racing Club (Arg),https://static.flashscore.com/res/image/data/6T5YTkZA-OCiVKiPK.png,2,2,Tejera G. (Uru),Neo Química Arena (São Paulo),49205.0,44238.0,24/10/2024,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - SEMIFINAIS,
UD3tcn3N,Cruzeiro (Bra),https://static.flashscore.com/res/image/data/lCWrxmg5-SjJmyx86.png,Lanús (Arg),https://static.flashscore.com/res/image/data/h4Xuyuf5-xQnxBzcF.png,1,1,Matonte Cabrera A. M. (Uru),Mineirão (Belo Horizonte),61927.0,57158.0,23/10/2024,19:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - SEMIFINAIS,
Sjbvvuo1,Cruzeiro (Bra),https://static.flashscore.com/res/image/data/lCWrxmg5-SjJmyx86.png,Libertad (Par),https://static.flashscore.com/res/image/data/ln1XQ9Ar-UwvYANk9.png,1,1,,,,,26/09/2024,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,
IaoH9xzg,Racing Club (Arg),https://static.flashscore.com/res/image/data/6T5YTkZA-OCiVKiPK.png,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,4,1,Rojas A. (Col),Estadio Juan Domingo Perón (Avellaneda),61000.0,28578.0,26/09/2024,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,
ADGL9WAa,Ind. Medellín (Col),https://static.flashscore.com/res/image/data/lMyrsdhl-plopiAtN.png,Lanús (Arg),https://static.flashscore.com/res/image/data/h4Xuyuf5-xQnxBzcF.png,1,2,Herrera A. (Ven),Estadio Atanasio Girardot (Medellín),40943.0,25923.0,25/09/2024,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,5 - 6
CEx1XaTI,Corinthians (Bra),https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,Fortaleza (Bra),https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,3,0,Maza P. (Chi),Neo Química Arena (São Paulo),49205.0,44453.0,24/09/2024,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,
pnm9Bb5t,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,Racing Club (Arg),https://static.flashscore.com/res/image/data/6T5YTkZA-OCiVKiPK.png,1,0,Garay C. (Chi),Ligga Arena (Curitiba),42372.0,24214.0,19/09/2024,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,
KQfWu1Gl,Libertad (Par),https://static.flashscore.com/res/image/data/ln1XQ9Ar-UwvYANk9.png,Cruzeiro (Bra),https://static.flashscore.com/res/image/data/lCWrxmg5-SjJmyx86.png,0,2,,,,,19/09/2024,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,
EoNCBhtm,Lanús (Arg),https://static.flashscore.com/res/image/data/h4Xuyuf5-xQnxBzcF.png,Ind. Medellín (Col),https://static.flashscore.com/res/image/data/lMyrsdhl-plopiAtN.png,0,0,Wilton Sampaio (Bra),Estádio Cidade de Lanús (Néstor Díaz Pérez) (Lanús),47090.0,9547.0,18/09/2024,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,
jalhZLb6,Fortaleza (Bra),https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,Corinthians (Bra),https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,0,2,Herrera D. (Arg),Castelão (Fortaleza),60326.0,46617.0,17/09/2024,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,
Uo7KMrHc,Cruzeiro (Bra),https://static.flashscore.com/res/image/data/lCWrxmg5-SjJmyx86.png,Boca Juniors (Arg),https://static.flashscore.com/res/image/data/h4UwH8Cr-tnwDCzLD.png,3,1,,,,,22/08/2024,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,5 - 4
zB6CgpmB,Ameliano (Par),https://static.flashscore.com/res/image/data/ruDjw6fM-zLKsTEF7.png,Libertad (Par),https://static.flashscore.com/res/image/data/ln1XQ9Ar-UwvYANk9.png,0,1,Aragon A. (Ecu),Estadio Defensores del Chaco (Assunção),44164.0,2572.0,22/08/2024,19:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,3 - 4
QNDBgiZr,Belgrano (Arg),https://static.flashscore.com/res/image/data/fVzQ4lxS-jXvNrLYt.png,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,0,2,,,,,22/08/2024,19:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,
Ojqm1ryh,Ind. Medellín (Col),https://static.flashscore.com/res/image/data/lMyrsdhl-plopiAtN.png,Palestino (Chi),https://static.flashscore.com/res/image/data/GxmUk4dM-zPORy6uL.png,4,0,,,,,21/08/2024,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,
